# CAMEMBERT Initial Conditions for GJ1214b
# ----------------------------------------
# Pressure (in Pa), gas temperature (in K) and associated volume mixing ratios for the primary opacity sources. The profiles were generated
# using ATMO by Duncan Christie.
#
# Date Generated: 2022-06-01
#
     Pressure_Pa    Temperature_K           VMR_CO          VMR_CO2          VMR_H2O          VMR_CH4          VMR_NH3           VMR_H2           VMR_He
  2.29899051e+04   7.29955899e+02   7.15058352e-07   2.17938447e-09   9.07862432e-04   5.24202399e-04   7.91499979e-05   8.37929548e-01   1.60532968e-01
  2.91503425e+04   7.63307383e+02   7.14705831e-07   2.17788115e-09   9.07873606e-04   5.23914506e-04   7.91814159e-05   8.37927017e-01   1.60535759e-01
  3.69615475e+04   7.99176259e+02   7.14319295e-07   2.17352723e-09   9.07885957e-04   5.23597445e-04   7.92143338e-05   8.37924251e-01   1.60538812e-01
  4.68658643e+04   8.33330863e+02   7.13913920e-07   2.15157566e-09   9.07899560e-04   5.23249856e-04   7.92485744e-05   8.37921241e-01   1.60542138e-01
  5.94241687e+04   8.65033263e+02   7.13545325e-07   2.06229629e-09   9.07914436e-04   5.22872623e-04   7.92837261e-05   8.37918001e-01   1.60545722e-01
  7.53476304e+04   8.93792086e+02   7.13214624e-07   1.86198582e-09   9.07930609e-04   5.22467731e-04   7.93193027e-05   8.37914551e-01   1.60549542e-01
  9.55379863e+04   9.17556513e+02   7.12296732e-07   1.65174891e-09   9.07948370e-04   5.22039508e-04   7.93547073e-05   8.37910927e-01   1.60553558e-01
  1.21138605e+05   9.34888884e+02   7.08202439e-07   1.50518677e-09   9.07969943e-04   5.21596610e-04   7.93892407e-05   8.37907181e-01   1.60557711e-01
  1.53599235e+05   9.47627077e+02   6.94830931e-07   1.38894456e-09   9.08001273e-04   5.21151604e-04   7.94223031e-05   8.37903362e-01   1.60561940e-01
  1.94758103e+05   9.56136182e+02   6.62320499e-07   1.27231810e-09   9.08052087e-04   5.20720258e-04   7.94534606e-05   8.37899505e-01   1.60566193e-01
  2.46946014e+05   9.60142692e+02   6.01692252e-07   1.13475932e-09   9.08131195e-04   5.20317668e-04   7.94823748e-05   8.37895649e-01   1.60570417e-01
  3.13118339e+05   9.62399306e+02   5.14932694e-07   9.61317339e-10   9.08236464e-04   5.19946630e-04   7.95088752e-05   8.37891834e-01   1.60574571e-01
  3.97022380e+05   9.63911110e+02   4.12318606e-07   7.64634159e-10   9.08357468e-04   5.19599868e-04   7.95329526e-05   8.37888096e-01   1.60578624e-01
  5.03409576e+05   9.65309386e+02   3.08688302e-07   5.68973752e-10   9.08479219e-04   5.19264706e-04   7.95546750e-05   8.37884471e-01   1.60582555e-01
  6.38304574e+05   9.67231115e+02   2.18299695e-07   3.98983687e-10   9.08587340e-04   5.18928387e-04   7.95741617e-05   8.37880988e-01   1.60586347e-01
  8.09346403e+05   9.69951696e+02   1.49317104e-07   2.69633813e-10   9.08673599e-04   5.18583797e-04   7.95915632e-05   8.37877663e-01   1.60589990e-01
  1.02622106e+06   9.73541531e+02   1.02058150e-07   1.81381920e-10   9.08737665e-04   5.18231488e-04   7.96070424e-05   8.37874502e-01   1.60593479e-01
  1.30121005e+06   9.78327079e+02   7.19114642e-08   1.25134223e-10   9.08784176e-04   5.17876710e-04   7.96207718e-05   8.37871502e-01   1.60596811e-01
  1.64988583e+06   9.84964580e+02   5.34743298e-08   9.03981736e-11   9.08818592e-04   5.17525063e-04   7.96329393e-05   8.37868655e-01   1.60599987e-01
  2.09199372e+06   9.93506124e+02   4.20473682e-08   6.85290422e-11   9.08845677e-04   5.17181199e-04   7.96437484e-05   8.37865954e-01   1.60603011e-01
  2.65257005e+06   1.00569532e+03   3.63271598e-08   5.62647640e-11   9.08866817e-04   5.16845730e-04   7.96534423e-05   8.37863391e-01   1.60605889e-01
  3.36335993e+06   1.02092097e+03   3.37777548e-08   4.91856473e-11   9.08884651e-04   5.16520372e-04   7.96623694e-05   8.37860958e-01   1.60608628e-01
  4.26461500e+06   1.04126954e+03   3.53186753e-08   4.75106545e-11   9.08898371e-04   5.16203095e-04   7.96711103e-05   8.37858649e-01   1.60611235e-01
  5.40737283e+06   1.06644667e+03   4.06851522e-08   4.98556892e-11   9.08908379e-04   5.15893011e-04   7.96810612e-05   8.37856454e-01   1.60613719e-01
  6.85634715e+06   1.09839523e+03   5.31599815e-08   5.82806721e-11   9.08911538e-04   5.15585770e-04   7.96957138e-05   8.37854370e-01   1.60616087e-01
  8.69359256e+06   1.13619529e+03   7.54783275e-08   7.32158581e-11   9.08905256e-04   5.15278286e-04   7.97254227e-05   8.37852389e-01   1.60618342e-01
  1.10231513e+07   1.18032232e+03   1.15206832e-07   9.79878957e-11   9.08882056e-04   5.14964026e-04   7.97844694e-05   8.37850514e-01   1.60620478e-01
  1.39769448e+07   1.23236207e+03   1.90382449e-07   1.40627378e-10   9.08823794e-04   5.14627317e-04   7.97647800e-05   8.37848841e-01   1.60622465e-01
  1.77222450e+07   1.29004450e+03   3.19264671e-07   2.04833895e-10   9.08711897e-04   5.14255360e-04   7.95271758e-05   8.37847487e-01   1.60624255e-01
  2.24711459e+07   1.35755282e+03   5.69882176e-07   3.15571580e-10   9.08477279e-04   5.13788578e-04   7.86314051e-05   8.37846812e-01   1.60625729e-01
  2.84925752e+07   1.43225126e+03   1.01356325e-06   4.85955884e-10   9.08047846e-04   5.13169558e-04   7.77467339e-05   8.37846406e-01   1.60626933e-01
  3.61275231e+07   1.51682671e+03   1.82622407e-06   7.58760856e-10   9.07244295e-04   5.12235290e-04   7.67151348e-05   8.37846414e-01   1.60627729e-01
  4.58083524e+07   1.61391918e+03   3.34776204e-06   1.20549556e-09   9.05720883e-04   5.10629403e-04   7.54854713e-05   8.37846785e-01   1.60627904e-01
  5.80832831e+07   1.71966906e+03   5.85408378e-06   1.84199028e-09   9.03195486e-04   5.07975680e-04   7.47100347e-05   8.37846356e-01   1.60627321e-01
  7.36474375e+07   1.83047384e+03   9.41167260e-06   2.62008597e-09   8.99595574e-04   5.04535163e-04   7.47670232e-05   8.37842450e-01   1.60625783e-01
